1494611535.881638,1494611536.045284
1494611536.041676,1494611536.164191
1494611537.751187,1494611537.927381
1494611538.855188,1494611538.945194
1494611539.065465,1494611539.167629
1494611550.836907,1494611551.010069
1494611555.582268,1494611555.730102
1494611557.227983,1494611557.362685
1494611563.647819,1494611563.773879
1494611564.817005,1494611564.947526
1494611574.107076,1494611574.236815
1494611578.908687,1494611579.059077
1494611580.551373,1494611580.681817
1494611585.303421,1494611585.454276
