1494612304.778583,1494612304.917898
1494612305.25655,1494612305.405031
1494612305.46468,1494612305.62369
1494612307.228909,1494612307.371609
1494612307.809634,1494612307.954261
1494612308.669772,1494612308.793719
1494612309.421177,1494612309.498379
1494612312.481918,1494612312.636921
1494612313.066108,1494612313.202644
1494612314.117376,1494612314.291757
1494612317.623046,1494612317.762432
1494612325.864755,1494612325.996085
1494612327.603549,1494612327.736455
1494612333.53442,1494612333.700701
1494612334.111421,1494612334.294246
1494612337.395925,1494612337.552219
1494612338.354857,1494612338.47712
1494612338.563295,1494612338.700714
1494612342.154082,1494612342.28172
1494612343.898017,1494612344.030708
1494612344.583954,1494612344.718955
1494612348.202874,1494612348.295221
1494612355.585101,1494612355.776958
