1494611898.980251,1494611899.118573
1494611899.085719,1494611899.218996
1494611899.992158,1494611900.130262
1494611902.336781,1494611902.479368
1494611917.461358,1494611917.596743
1494611922.792894,1494611922.926629
1494611927.349625,1494611927.535274
1494611927.933286,1494611928.07755
1494611928.042976,1494611928.200514
1494611928.626779,1494611928.767738
1494611931.43314,1494611931.565347
1494611934.247873,1494611934.398418
1494611935.527632,1494611935.658519
1494611937.28847,1494611937.427143
1494611939.030168,1494611939.166219
1494611941.245061,1494611941.404127
1494611941.664701,1494611941.75939
1494611944.269266,1494611944.412107
