1494611802.271808,1494611802.414778
1494611802.427946,1494611802.525604
1494611802.587179,1494611802.745732
1494611803.168862,1494611803.315705
1494611803.75562,1494611803.881745
1494611807.35093,1494611807.488374
1494611807.830014,1494611807.955045
1494611809.571206,1494611809.734896
1494611810.151553,1494611810.293878
1494611811.209466,1494611811.380024
1494611812.47906,1494611812.611541
1494611812.584108,1494611812.725008
1494611820.029988,1494611820.159876
1494611821.197558,1494611821.328463
1494611822.466642,1494611822.610388
1494611827.108205,1494611827.234445
1494611837.545097,1494611837.686204
